path,safety,engine,iters,warmup,min_ns,median_ns,mean_ns,p99_ns,stddev_ns,cv_pct,result,compile_ns,code_bytes,ir_instrs,note
int_div,off,ember,2000,50,3900.0,4100.0,4185.4,7700.0,618.0,14.77,481983,395700,742,28,cqo+idiv x2 + div0-guard (always on)
int_div,off,gcc_O2,2000,50,2600.0,2600.0,2660.7,2900.0,163.6,6.15,481983,0,0,0,cqo+idiv x2 + div0-guard (always on)
int_div,on,ember,2000,50,3900.0,4000.0,4137.9,6900.0,471.9,11.40,481983,224000,1222,30,cqo+idiv x2 + div0-guard (always on)
int_div,on,gcc_O2,2000,50,2600.0,2700.0,2685.6,2900.0,165.5,6.16,481983,0,0,0,cqo+idiv x2 + div0-guard (always on)
call_overhead,off,ember,2000,50,1546000.0,1556300.0,1562932.4,1793600.0,42164.5,2.70,20000200000,487000,863,29,dispatch indirect call + prologue/epilogue x4/iter
call_overhead,off,gcc_O2,2000,50,243000.0,246600.0,251739.9,295100.0,19913.3,7.91,20000200000,0,0,0,dispatch indirect call + prologue/epilogue x4/iter
call_overhead,on,ember,2000,50,0.0,0.0,0.0,0.0,0.0,0.00,0,303000,2252,39,dispatch indirect call + prologue/epilogue x4/iter
loop_overhead,off,ember,200,20,17179600.0,17205000.0,17274362.5,18651100.0,355951.0,2.06,49999995000000,136200,326,16,jmp back-edge + loop-body budget charge (safety-on)
loop_overhead,off,gcc_O2,200,20,1852600.0,1859100.0,1861535.5,1890100.0,7689.0,0.41,49999995000000,0,0,0,jmp back-edge + loop-body budget charge (safety-on)
loop_overhead,on,ember,200,20,19094100.0,19267300.0,19769563.0,23870500.0,1159641.6,5.87,49999995000000,204400,524,18,jmp back-edge + loop-body budget charge (safety-on)
loop_overhead,on,gcc_O2,200,20,1854400.0,1865200.0,1869956.0,1938400.0,14286.5,0.76,49999995000000,0,0,0,jmp back-edge + loop-body budget charge (safety-on)
slice_bounds,off,ember,200,20,1533700.0,1535000.0,1540343.0,1567500.0,19804.1,1.29,31500000,204800,934,0,indexing w/ bounds check (always on); C++ unchecked
slice_bounds,off,gcc_O2,200,20,190500.0,190600.0,191103.5,199900.0,1494.0,0.78,31500000,0,0,0,indexing w/ bounds check (always on); C++ unchecked
slice_bounds,on,ember,200,20,1714000.0,1733900.0,1734517.5,1763600.0,9109.4,0.53,31500000,202500,1320,0,indexing w/ bounds check (always on); C++ unchecked
slice_bounds,on,gcc_O2,200,20,186000.0,187900.0,190386.0,199800.0,4389.9,2.31,31500000,0,0,0,indexing w/ bounds check (always on); C++ unchecked
string_decrypt,off,ember,2000,50,1260700.0,1513600.0,2109711.3,2796400.0,14955589.2,708.89,1200000,168200,417,0,inline-stack-XOR decrypt per use (string_xor!=0)
string_decrypt,off,gcc_O2,2000,50,244100.0,247300.0,248527.5,263300.0,7966.3,3.21,0,0,0,0,inline-stack-XOR decrypt per use (string_xor!=0)
string_decrypt,on,ember,2000,50,1347800.0,1558600.0,2146190.8,2697800.0,25483407.7,1187.38,1200000,160000,715,0,inline-stack-XOR decrypt per use (string_xor!=0)
string_decrypt,on,gcc_O2,2000,50,243000.0,244200.0,245588.2,258500.0,9582.7,3.90,0,0,0,0,inline-stack-XOR decrypt per use (string_xor!=0)
struct_by_value,off,ember,2000,50,200.0,200.0,243.8,300.0,69.3,28.43,120,242300,668,0,hidden-pointer ABI temp copy; struct-by-value arg + return
